x1,x2,x3,y
9.17,5.712,0.6426,0.0835
3.026,4.934,0.6474,0.0789
6.764,4.252,0.6832,0.06
0.356,4.074,0.9764,0.1448
3.852,4.916,0.6704,0.0882
8.48,2.294,0.9598,0.095
3.466,0.178,0.5038,0.0778
3.4,7.228,0.2326,0.0657
3.516,2.534,0.9046,0.0792
2.702,0.072,0.0236,0.0796
6.612,3.612,0.976,0.0951
5.696,6.268,0.497,0.0722
5.518,1.432,0.8256,0.074
9.18,4.312,0.157,0.0661
4.224,5.766,0.2522,0.0881
8.824,2.688,0.3146,0.0623
4.644,1.638,0.4926,0.0968
6.182,4.932,0.617,0.0788
8.944,0.946,0.033,0.0945
1.326,2.804,0.6384,0.1872
7.488,2.206,0.4816,0.0916
1.118,7.606,0.536,0.0933
2.41,8.43,0.5044,0.0825
3.084,9.612,0.7656,0.0575
6.822,3.106,0.8226,0.0893
4.934,5.63,0.8608,0.0867
9.628,4.34,0.2746,0.0595
9.694,4.68,0.2756,0.0946
5.98,7.086,0.9372,0.0726
6.47,1.806,0.2882,0.0726
