x1,x2,x3,y
20.01,22.4,0.34,6.1266
42.23,20.65,33.66,15.3859
8.53,10.08,18.09,2.5758
20.66,11.74,8.17,7.3497
14.47,18.18,20.71,4.2698
27.37,40.26,15.83,7.7358
16.93,9.09,3.53,6.0673
20.18,32.32,22.11,5.5686
6.22,16.53,46.8,1.445
36.93,29.84,49.87,12.2223
12.95,41.58,45.74,2.8138
45.05,38.16,17.14,14.7472
2.94,26.84,31.08,0.4304
6.64,1.72,15.5,2.6391
37.58,8.59,30.35,15.0433
9.28,7.85,29.16,3.0146
0.02,47.25,19.67,-0.0098
12.36,18.7,44.61,3.4441
36.74,35.8,16.28,11.6068
9.14,31.34,0.93,1.9196
14.99,36.48,11.63,3.5741
4.37,15.88,30.67,0.8819
45.65,45.44,45.1,14.3779
7.55,31.84,41.46,1.4786
21.87,35.71,18.38,5.9983
41.83,22.54,38.1,14.9615
23.23,28.13,0.44,6.9311
18.47,37.69,35.42,4.686
35.56,40.49,23.1,10.7933
27.07,34.05,11.65,7.994
36.43,14.79,17.33,13.64
41.24,4.24,2.48,17.4675
46.18,22.58,40.03,16.8243
40.05,33.69,35.74,13.0935
44.65,48.48,41.59,13.7557
44.99,35.69,6.68,14.9264
3.48,1.82,23.92,1.2428
22.66,14.57,43.89,7.8443
34.09,6.33,39.23,13.9294
2.99,7.02,15.84,0.736
1.21,18.05,29.36,0.1347
13.15,1.49,28.06,5.5271
2.14,21.33,5.78,0.2771
27.05,35.82,10.91,7.863
11.49,2.93,20.17,4.5768
30.47,22.82,48.03,10.2165
41.73,4.28,25.68,17.6668
1.85,4.19,45.35,0.4449
19.18,1.85,28.77,8.138
8.66,32.35,40.78,1.7481
25.75,15.64,31.68,9.0437
19.39,30.6,4.49,5.3653
6.25,45.81,15.57,0.9721
31.22,31.21,29.85,9.7888
41.36,37.4,14.19,13.3263
13.28,41.78,14.94,2.8876
36.18,23.25,28.31,12.5319
15.5,39.69,34.74,3.6595
24.44,44.95,30.65,6.4442
43.18,44.59,3.93,13.436
38.31,1.99,11.5,16.5751
47.06,19.16,30.28,17.6158
43.88,28.97,14.94,15.1404
29.14,47.88,8.71,7.9734
42.22,1.04,15.71,18.541
14.03,43.95,5.97,3.0663
36.06,17.31,36.69,13.1491
35.99,34.38,35.91,11.4152
12.13,12.53,7.01,3.7897
41.53,23.16,25.41,14.7939
39.11,46.82,10.75,11.7226
7.7,32.58,20.92,1.5057
31.22,23.54,26.33,10.4833
25.99,22.62,35.63,8.4533
27.38,35.29,6.46,8.0605
1.78,38.58,37.26,0.1661
36.07,38.02,48.8,11.1816
19.57,36.7,26.49,5.1276
45.76,3.28,7.12,19.649
23.64,38,5.98,6.5044
0.99,48.61,43.19,0.0821
14.52,10.22,40.05,4.9321
44.08,46.01,19.28,13.689
10.95,27.84,4.99,2.5748
22.42,8.57,31.22,8.4824
27.55,10.31,29.94,10.4614
11.46,5.23,32.18,4.239
18.04,38.33,28.46,4.5141
3.27,3.63,46.98,1.0001
34.19,48.29,20.72,9.76
10.73,41.11,27.1,2.1489
0.27,4.84,46.23,0.0076
37.35,23.85,46.28,12.9836
3.22,1.55,17.3,1.1754
12.75,4.1,36.74,4.9375
48.4,39.75,13.1,15.9139
43.69,35.53,16.04,14.4252
30.97,35.42,14.27,9.4078
30.82,6.78,4.57,12.3771
22.94,4.29,28.28,9.3747
