x1,x2,x3,x4,y
0.07,36.35,0.77,25.44,-78
41.95,45.22,4.96,21.63,3739
10.79,31.92,24.59,30.57,-964
23.06,13.81,31.99,46.93,290
21.58,7.55,13.98,22.58,97
5.02,47.82,22.05,16.35,-2203
38.79,13.82,32.97,13.94,-181
8.35,9.66,46.76,40.52,-77
7.82,5.79,26.95,29.86,44
10.26,34.82,4.41,32.42,1405
18.18,16.24,28.2,34.8,-251
43.91,19.6,15.23,16.35,-829
