x1,x2,x3,x4,y
0.968,0.428,3.943,1.271,11.4079
2.987,2.196,1.138,0.272,13.1326
3.467,1.205,4.308,3.328,66.8894
3.247,3.6,2.188,0.654,37.5784
2.273,4.957,1.834,3.104,53.019
3.754,3.523,2.415,0.678,44.9118
0.743,0.826,3.261,0.547,6.1484
2.789,4.832,2.054,4.036,75.3514
0.047,3.483,1.481,0.157,1.3182
0.426,1.281,1.661,1.665,2.9196
2.506,0.364,4.607,0.719,34.8126
2.089,0.839,1.437,1.77,9.2179
3.672,0.578,2.822,1.241,24.0698
0.514,4.244,2.678,0.595,8.6913
1.711,0.007,0.079,0.236,1.8321
3.318,4.156,0.144,2.231,46.8915
0.74,2.905,1.418,4.16,13.3166
0.293,4.896,2.119,0.675,5.8218
1.529,3.77,4.312,3.839,45.1136
4.861,4.335,2.834,1.978,92.7494
4.759,2.426,2.947,0.368,45.0472
0.663,2.132,0.19,0.388,2.8241
3.052,0.215,4.397,2.091,45.9178
2.296,3.791,2.951,3.862,54.0703
4.718,3.92,4.208,2.178,110.163
1.597,1.947,1.314,2.76,14.1561
3.728,1.818,2.625,4.775,76.197
2.935,1.446,0.649,0.084,6.6849
3.31,0.775,0.552,2.11,13.069
0.424,2.307,0.62,3.741,5.8489
3.946,0.073,2.966,2.985,44.4827
2.288,0.976,3.688,0.11,22.0638
1.854,4.314,0.922,0.267,23.2541
0.434,4.587,3.37,0.276,9.6116
0.441,4.71,3.082,3.864,13.2901
2.052,1.692,1.54,4.638,34.5328
1.231,3.119,2.913,1.825,17.173
2.532,0.284,0.673,4.827,38.1077
1.444,1.623,4.917,3.249,33.5925
0.483,1.36,4.182,3.022,8.9912
4.35,0.091,1.526,3.003,32.5734
3.926,2.9,1.114,4.426,71.6604
4.741,0.374,3.161,2.69,52.4759
2.276,1.514,3.328,2.826,31.2303
1.975,1.242,1.546,0.125,6.563
4.085,1.182,4.132,3.533,78.6754
1.08,3.391,2.142,3.58,19.8553
1.292,2.038,0.056,1.443,6.4116
4.932,1.435,4.706,2.642,95.5951
4.463,1.137,2.282,1.261,24.7476
1.577,0.193,2.934,2.396,15.1664
0.756,3.092,4.092,0.93,13.5156
2.012,3.581,4.066,2.194,43.2136
