x1,x2,x3,y
0.298,4.162,1.711,0.2414
0.737,1.395,4.818,0.5626
1.844,1.689,0.643,1.4818
3.944,4.815,2.564,3.0307
3.485,3.689,2.275,2.6647
4.742,0.067,4.197,3.5728
1.913,2.212,4.776,1.4478
3.408,3.535,1.585,2.6549
1.38,2.417,3.416,1.0453
0.784,4.724,3.768,0.6015
3.531,1.735,1.412,2.6785
4.511,2.463,2.959,3.411
2.551,0.613,3.587,1.9246
0.587,2.664,3.369,0.4514
0.622,4.796,2.851,0.4817
0.23,2.656,2.833,0.1795
3.697,4.195,4.484,2.7983
2.054,2.066,2.257,1.5571
2.582,3.301,3.236,1.9593
4.563,0.275,2.87,3.4362
4.335,3.168,3.239,3.2779
3.95,0.43,1.296,2.9783
2.432,3.876,1.487,1.9478
3.016,0.143,1.98,2.2735
1.733,4.733,2.225,1.3464
3.57,0.768,1.835,2.6917
3.364,3.149,2.599,2.5544
1.28,4.438,4.785,0.9737
3.252,3.02,2.646,2.4662
3.017,4.204,4.6,2.2824
0.968,0.428,3.943,0.7366
1.312,2.987,2.196,1.0038
0.272,3.974,3.467,0.2145
4.308,3.328,4.408,3.2535
3.6,2.188,0.654,4.1184
2.273,4.957,1.834,1.8371
3.103,3.754,3.523,2.3522
0.678,0.177,0.743,0.5191
3.261,0.547,3.864,2.4593
4.832,2.054,4.036,3.6431
0.047,3.483,1.481,0.0466
