x1,x2,x3,x4,x5,y
20.85,1.72,28.7,14.66,2.72,0.041
28.84,3.84,8.24,22.92,49.79,1.4207
38.87,46.05,8.94,46.6,4.81,0.0265
5.41,7.67,32.63,23.19,3.92,0.0544
3.95,35.83,46.12,6.34,33.88,0.0127
4.43,16.89,10.15,20.68,5.61,0.094
26.76,18.86,14.02,48.84,8,0.6044
26.76,26.54,31.57,10.09,45.63,0.1451
21.89,49.42,3.33,36.62,47.16,0.2239
33.53,15.1,16.28,35.02,37.34,1.2412
34.15,23.01,10.98,14.25,36.62,0.2606
11.94,1.74,38.54,22.12,3.5,0.0325
40.93,41.17,30.02,36.11,6.16,0.0372
37.74,36.95,21.9,6.47,18.45,0.0119
37.62,41.66,16,26.19,19.74,0.0887
47.82,43.46,33.9,8.08,6.38,-0.0054
25.58,41.51,17.96,11.39,32.59,0.0819
48.51,35.95,25.51,32.27,8.98,0.0463
34.75,3.24,24.96,32.17,35.24,0.6355
47.98,11.16,22.38,29.17,48.27,0.3158
25.4,46.75,41.39,47.1,16.56,0.0751
13.53,12.35,37.49,9.78,22.86,0.1008
26.13,42.18,16.69,9.96,40.37,0.0747
16.91,34.31,37.07,29.01,38.44,0.1851
27.44,31.3,18.09,11.12,42.48,0.1622
43.69,48.04,4.47,8.11,35.79,0.0074
13.2,37.63,46.76,36.8,17.98,0.0628
4.73,36.37,9.01,31.82,42.1,0.2778
24.29,37.95,11.01,12.86,30.52,0.1163
0.68,44.5,49.21,17.81,33.8,0.034
11.6,30.34,32.02,11.81,38.3,0.1169
2.68,11.83,2.54,18.62,11.81,0.1159
47.82,46.38,20.59,14.68,43.77,0.0704
25.2,13.96,26.23,28.69,2.39,0.0812
30.16,17.74,25.63,31.42,36.42,0.8288
29.08,6.37,16.09,31.69,9.41,0.606
18.43,19.72,17.61,46.45,10.98,0.9931
5.81,23.57,42.95,35.8,6.33,0.0288
15.56,27.02,32.84,18.05,5.28,0.0404
6.06,0.17,48.71,7.05,18.63,-0.0016
10.06,29.25,16.79,23.22,14.95,0.1569
38.44,42.82,46.53,23.47,10.05,0.0296
12.55,16.45,17.31,1.78,4.47,0.0155
26.76,44.35,32.22,35.11,48.31,0.2229
30.7,7.24,40.92,16.05,46.54,0.1682
26.42,44.03,26.32,27.6,38.7,0.1809
39.85,4.73,48.07,5.27,34.44,0.034
13.35,0.48,28.95,49.48,26.25,0.8085
18.61,27.9,25.62,25.88,24.25,0.3085
21.27,5.92,31.9,25.89,29.8,0.5278
31.66,28.54,37.16,31.72,26.52,0.1533
15.47,33.31,45.1,43.79,33.7,0.2108
4.14,16.49,14.8,10.61,29.53,0.2134
3.99,20.36,6.8,6.36,25.51,0.0853
44.77,28.2,17.81,5.99,48.46,0.0509
49.42,6.53,9.77,16.78,30.41,0.1128
37.15,36.48,46.68,15.3,7.66,0.0017
7.09,2.29,37.79,13.94,5.58,0.0309
31.32,11.37,13.3,18.83,25.59,0.7351
27.98,31.71,19.6,45.4,20.42,0.3534
30.09,4.92,30.43,5.44,34.21,0.0818
27.13,2.61,19.84,25.12,10.83,0.4322
27.18,45.02,46.45,24.24,27.68,0.0492
30.77,20.35,48.96,36.12,8.34,0.0238
16.69,35.89,13.46,3.37,47.18,0.0465
27.99,24.4,36.67,0.84,7.36,-0.0083
5.96,25.43,39.7,40,21.38,0.1736
15.3,39.05,25.92,4.26,46.37,0.0401
26.28,12.07,39.36,27.86,44.79,0.3817
34.69,42.07,6.98,17.41,41.3,0.0899
48.63,26.3,5.83,1.22,38.25,-0.012
18.65,17.83,23.67,31.58,21.88,0.9992
23.74,34.45,46.38,36.76,48.83,0.2449
17.86,23.76,46.21,25.63,34.25,0.1503
28.79,25.05,29.32,17.13,8.49,0.0372
49.75,11.53,17.72,1.88,35.63,0.025
15.03,0.17,6.66,22.81,33.67,0.8247
18.87,6.85,44.02,37.94,19.29,0.1915
13.52,7.21,38.33,30.91,10.23,0.1265
22.26,14.38,8.58,14.8,20.63,0.9322
18.41,8.48,5.96,12.57,20.87,0.5861
15.53,26.53,7.34,43.81,17.65,0.4595
29.9,48.95,17.26,32.69,34.48,0.1591
28.13,27.66,10.22,27.68,1.59,0.012
1.27,44.79,14.08,18.48,39.47,0.0734
28.41,47.56,19.08,3.16,6,-0.0175
47.16,27.7,10.03,25.69,15.7,0.055
1.78,30.53,4,25.6,45.05,0.2738
32.54,42.93,45.93,44,1.85,0.0274
17.88,49.14,12.43,17.96,24.35,0.0567
24.4,10.94,13.86,45.4,28,11.7914
24.84,3.9,8.34,19.52,0.07,-0.0074
0.77,25.44,13.13,41.95,45.22,0.6402
21.63,12.88,10.79,31.92,24.59,5.4645
23.98,23.06,13.81,31.99,46.93,1.6086
21.58,7.55,13.98,22.58,29.59,14.0282
47.82,22.05,16.35,25.92,38.79,0.2283
32.97,13.94,33.37,8.35,9.66,0.011
40.52,40.45,7.82,5.79,26.95,0.0223
44.96,10.26,34.82,4.41,32.42,0.0381
18.18,16.24,28.2,34.8,6.46,0.1877
19.6,15.23,16.35,36.09,13.31,3.2549
45.56,14.57,22.47,45.88,44.47,0.569
3.27,23.12,24.47,23.77,5.83,0.0512
23.91,19.96,16.76,0.51,15.26,0.0232
33.17,14.81,49.73,13.6,20.55,0.0498
47.76,23.26,19.33,21.88,6.57,0.0498
27.42,35.95,8.36,39.08,48.73,0.513
25.21,26.47,9.74,18.73,29.33,0.327
9.28,46.36,29.72,11.18,28.64,0.0487
18.82,0.13,41.89,28.73,25.29,0.1568
28.88,6.89,31.45,47.26,5.58,0.1469
26.59,41.29,49.27,22.89,29.54,0.0716
8.29,32.8,26.87,11.28,48.77,0.1579
34.99,42.05,3.21,24.78,7.58,0.017
48.14,5,21.7,0.61,0.84,-0.0099
38.72,41.28,37.32,11.18,48.77,0.0397
46.6,43.01,19.7,26.98,48.36,0.1434
34.14,44.85,14.1,22.81,10.89,0.0151
43.96,6.14,19,1.81,14.04,0.0284
5.86,11.85,21.72,26.75,22.75,0.4797
18.68,1.72,44.06,48.54,33.95,0.3503
38.6,17.05,2.02,34.34,14.32,0.1743
23.09,41.85,19.83,27.08,45.54,0.2255
48.89,12.27,22.82,41,6.59,0.08
9.62,2.49,8.05,18.15,24.74,0.4227
43.46,21.74,20.47,16.93,5.47,0.0458
10.71,1.42,37.48,27.47,22.88,0.1889
24.07,19.17,0.78,39.98,6.92,0.1727
48.38,23.82,22.61,32.72,16.77,0.0941
20.63,46.65,49.19,24.72,32.84,0.0746
11.47,37.04,28,8.19,47.7,0.1003
47.29,48.09,13.49,14.01,29.61,0.0477
1.64,48.36,47.67,24.88,37.65,0.0751
38.42,2.26,34.78,12.03,23.97,0.063
