x1,x2,x3,y
4.114,0.649,0.276,3.5519
4.387,1.392,1.593,4.7089
4.77,0.377,3.265,5.2303
4.083,0.997,2.486,4.9871
4.867,0.736,4.35,5.2454
4.157,4.738,3.121,8.9889
2.277,4.437,3.834,6.4202
4.556,0.86,2.246,5.206
2.165,3.467,2.462,5.4076
4.469,1.625,2.759,6.0807
1.589,2.088,1.417,2.4947
2.081,2.089,0.606,1.3239
1.911,3.896,2.617,5.7282
2.143,2.951,3.99,4.7453
4.021,2.947,4.334,5.8857
1.353,2.451,2.889,3.8456
1.378,3.938,2.12,4.8716
1.545,2.338,3.896,3.7151
0.854,1.46,0.049,0.6844
0.702,2.902,0.36,2.3086
1.399,3.305,2.267,4.4318
1.769,2.062,2.847,3.8527
0.518,2.84,4.859,2.8694
4.287,3.524,4.912,5.0333
3.555,0.444,3.029,4.0866
3.832,3.994,4.183,6.8729
0.79,4.003,3.583,4.8114
4.276,4.462,3.758,8.4193
2.359,3.475,2.742,5.7733
2.853,0.538,3.91,3.3172
0.971,4.508,4.247,5.1044
3.04,1.863,4.114,4.4546
2.449,1.129,2.794,3.6029
0.25,0.569,0.377,0.4119
4.079,2.492,2.771,6.5245
0.337,3.812,2.889,4.199
0.772,3.686,2.312,4.3037
0.917,0.365,3.975,1.2796
4.036,0.61,2.662,4.6537
0.499,1.27,1.373,1.3485
3.769,3.908,2.851,7.6928
0.422,4.554,1.814,4.7443
2.854,1.968,4.693,3.5582
4.621,4.011,4.921,5.5547
4.571,2.983,3.078,7.6173
2.187,2.042,2.417,4.0461
2.823,1.068,1.597,3.1321
2.75,1.561,2.646,4.281
0.175,1.457,3.464,1.6828
4.676,1.958,0.407,3.048
3.7,4.738,2.755,8.3535
1.069,4.133,2.1,4.8171
3.643,0.175,0.966,3.6341
3.589,4.585,1.189,4.7318
4.895,3.074,3.876,7.5265
4.086,3.568,3.968,7.0915
1.281,1.219,3.722,2.4555
4.041,2.304,0.647,2.689
2.658,0.374,1.693,2.7881
1.822,4.268,1.749,4.9942
4.83,3.84,0.731,3.3226
2.755,0.525,4.821,2.8298
2.268,1.08,3.647,3.3387
2,4.137,1.451,4.4649
3.653,0.403,1.546,3.7252
0.249,3.63,4.604,3.7413
0.219,0.713,2.572,0.985
2.228,0.52,1.27,2.2016
1.923,2.319,0.957,2.0818
3.02,0.908,0.422,2.3204
1.411,1.809,1.388,2.1725
2.191,1.134,1.286,2.2392
0.811,0.984,3.683,1.8081
0.737,2.492,1.926,2.8981
1.33,4.859,2.784,6.1916
0.836,0.011,3.143,0.9442
0.67,3.719,4.056,4.2605
3.422,0.297,2.679,3.7893
3.246,4.246,3.906,7.0581
3.56,3.436,4.742,4.9448
3.228,4.703,0.709,3.1722
3.643,3.959,4.84,5.1222
0.389,4.181,1.047,4.0976
4.397,0.878,4.925,4.3765
3.77,0.913,1.266,3.6903
3.7,1.77,3.856,5.2488
3.148,4.643,4.334,6.5531
3.209,0.937,3.166,4.2172
3.33,3.063,2.027,5.5134
2.81,1.618,3.148,4.5117
1.249,2.313,2.412,3.4166
2.868,2.273,4.253,4.4653
0.876,1.539,2.655,2.4158
4.298,1.921,3.797,5.991
0.947,1.517,2.135,2.2651
1.447,4.548,2.983,6.0412
0.497,2.338,0.868,2.1088
2.783,2.569,4.233,4.6441
2.213,0.157,3.253,2.437
4.406,4.363,3.841,8.3312
